name,ribbonType,latitude,longitude,address,phone
기와집순두부조안본점,RIBBON_TWO,37.537252,127.302404,경기도 남양주시 조안면 북한강로 133 ,031-576-9009  
평양면옥,RIBBON_TWO,37.73097391295375,127.04753134428825,경기도 의정부시 평화로439번길 7 ,031-877-2282  
삼부자갈비,RIBBON_TWO,37.2736041648046,127.052603103031,경기도 수원시 영통구 중부대로 335  삼부리치안,031-211-8959  
가보정,RIBBON_TWO,37.274159,127.028696,경기도 수원시 팔달구 장다리로 282 의성빌딩,1600-3883  
강천매운탕,RIBBON_TWO,37.23475960865856,127.70886974015433,경기도 여주시 강천면 강천리길 85 ,031-882-5191  
고기리막국수,RIBBON_TWO,37.35999570353232,127.04009017799066,경기도 용인시 수지구 이종무로 157 ,031-263-1107  
서동관,RIBBON_TWO,37.670973,126.747625,경기도 고양시 일산서구 호수로856번길 7-7 ,031-922-7463  
능라도,RIBBON_TWO,37.395169,127.077575,경기도 성남시 분당구 산운로32번길 12 ,031-781-3989  
180커피로스터스,RIBBON_TWO,37.382513,127.151627,경기도 성남시 분당구 문정로144번길 4 ,031-8017-1180  
쉐즈롤,RIBBON_TWO,37.5975600326635,127.372518055161,경기도 양평군 서종면 낙촌길 7-7 ,031-775-8911  
흥선,RIBBON_TWO,37.73769071651059,127.04006607679563,경기도 의정부시 둔야로 20 중앙오피스텔,031-829-0707  
우동선,RIBBON_TWO,37.2799601701037,127.443704459258,경기도 이천시 중리천로 54 ,010-5544-1064  
평양면옥,RIBBON_TWO,37.385209,127.13449,경기도 성남시 분당구 안골로 27 ,031-701-7752  
원조분원붕어찜,RIBBON_TWO,37.495207,127.301134,경기도 광주시 남종면 산수로 1633 ,031-767-9055  
유치회관,RIBBON_TWO,37.25878303148087,127.03218609766743,경기도 수원시 팔달구 효원로292번길 67 ,031-234-6275  
언피니쉬드,RIBBON_ONE,37.5518130290607,127.184490015618,경기도 하남시 미사강변서로 16 하우스디스마트밸리 R118호,031-5175-7099  
마이보틀,RIBBON_ONE,37.3811733499784,127.130339166306,경기도 성남시 분당구 중앙공원로 54 시범단지우성아파트 단지 내 분산상가,010-5862-0703  
스너그로스터리,RIBBON_ONE,37.4807350060176,126.865332670084,경기도 광명시 시청로 50 상가 A동 AA123호,02-3666-2010  
스시야,RIBBON_ONE,37.3630091848763,127.106533316945,경기도 성남시 분당구 정자일로 146 엠코헤리츠1단지 101-203호,031-717-6689  
부산양곱창,RIBBON_ONE,37.391140916368,126.954021096467,경기도 안양시 동안구 평촌대로223번길 28 ,031-382-1917  
옛날순두부집,RIBBON_ONE,37.4767690276423,127.18889697251,경기도 광주시 남한산성면 남한산성로 732 ,031-745-4619  
르디투어,RIBBON_ONE,37.3121197599694,127.054940225552,경기도 수원시 영통구 웰빙타운로36번길 46-234  ,031-217-0004  
이태리백반,RIBBON_ONE,37.4888768572114,126.781865195693,경기도 부천시 장말로362번길 30 삼양빌딩,070-4001-1356  
그릴휘바,RIBBON_ONE,37.7164020556989,126.980321567814,경기도 양주시 장흥면 호국로550번길 107 ,031-877-5177  
호커스포커스로스터스,RIBBON_ONE,37.0634561436965,127.076301876617,경기도 평택시 장안웃길 12 ,031-662-7783  
