name,ribbonType,latitude,longitude,address,phone
제로컴플렉스,RIBBON_THREE,37.5208433209866,126.992854368108,서울특별시 용산구 서빙고로59길 11-8 ,02-532-0876
더그린테이블,RIBBON_THREE,37.5777621971432,126.988357552948,서울특별시 종로구 율곡로 83 아라리오 뮤지엄 4층,02-591-2672
모수서울,RIBBON_THREE,37.536443,126.999359,서울특별시 용산구 이태원로55가길 45 ,02-793-5995
아리아께,RIBBON_THREE,37.5563,127.0063,서울특별시 중구 동호로 249 서울신라호텔 2층,02-2230-3356 
콘티넨탈,RIBBON_THREE,37.556297,127.006307,서울특별시 중구 동호로 249 서울신라호텔 23층,02-2230-3369 
팔선,RIBBON_THREE,37.5563,127.0063,서울특별시 중구 동호로 249 서울신라호텔 2층,02-2230-3366 
도림,RIBBON_THREE,37.56461,126.9809,서울특별시 중구 을지로 30 롯데호텔서울 본관 37층,02-317-7101
라망시크레,RIBBON_THREE,37.559733515077966,126.97952350317435,서울특별시 중구 퇴계로 67 레스케이프 호텔 26층,02-317-4003 
키즈나,RIBBON_THREE,37.578806133812215,126.98162396312134,서울특별시 종로구 율곡로1길 78 ,02-722-0411 
수운,RIBBON_THREE,37.5714966636936,126.983659015157,서울특별시 종로구 우정국로 26 센트로폴리스빌딩 2층,02-722-4310 
본앤브레드,RIBBON_THREE,37.566790715500474,127.04450198300889,서울특별시 성동구 마장로42길 1 ,02-2294-5005
도원,RIBBON_THREE,37.56466,126.9782,서울특별시 중구 소공로 119 더플라자 3층,02-310-7300
스시조,RIBBON_THREE,37.564406,126.979697,서울특별시 중구 소공로 106 웨스틴조선호텔 20층,02-317-0373
무궁화,RIBBON_THREE,37.56461,126.9809,서울특별시 중구 을지로 30 롯데호텔 본관 38층,02-317-7061
온지음레스토랑,RIBBON_THREE,37.5804948296674,126.9733908253081,서울특별시 종로구 효자로 49 4층,02-6952-0024 
주은,RIBBON_TWO,37.5729199136655,126.970063182815,서울특별시 종로구 경희궁길 36 경희당 빌딩 8층,02-540-8580
메종루블랑,RIBBON_TWO,37.5256854191743,126.96275666622,서울특별시 용산구 한강대로15길 19-22 ,070-8849-2040
몽탄,RIBBON_TWO,37.53599611626749,126.97224352471865,서울특별시 용산구 백범로99길 50 ,02-794-8592
남영돈,RIBBON_TWO,37.5427493719708,126.973775844291,서울특별시 용산구 한강대로80길 17 ,02-793-3598
소금집델리,RIBBON_TWO,37.556823649468,126.90823736311545,서울특별시 마포구 월드컵로19길 14 ,02-336-2617
로컬릿,RIBBON_TWO,37.5409414348017,127.014746912628,서울특별시 성동구 한림말길 33 청훈빌딩 2층,02-2282-1124
오월의종,RIBBON_TWO,37.5366074435475,126.997831352071,서울특별시 용산구 이태원로45길 34 ,02-749-9481
미카야,RIBBON_TWO,37.55547,126.9182,서울특별시 마포구 동교로 145-1 학산빌딩,02-3143-3579
아이덴티티커피랩,RIBBON_TWO,37.5554112242628,126.917486143443,서울특별시 마포구 동교로 139 ,010-5787-3466
라연,RIBBON_TWO,37.55698,127.0059,서울특별시 중구 동호로 249 서울신라호텔 23층,02-2230-3367 
비원떡집,RIBBON_TWO,37.5797848928672,126.984863118822,서울특별시 종로구 북촌로 33-1 1층,02-765-4928 
수엔190,RIBBON_TWO,37.56052,126.9929,서울특별시 중구 퇴계로 190 매경미디어센터 12층,02-2000-2888
금돼지식당,RIBBON_TWO,37.55709299058367,127.01166616636434,서울특별시 중구 다산로 149 ,010-4484-8750 
자하손만두,RIBBON_TWO,37.59307,126.966,서울특별시 종로구 백석동길 12 ,02-379-2648 
무교동북어국집,RIBBON_TWO,37.5677,126.9798,서울특별시 중구 을지로1길 38 ,02-777-3891 
마포옥,RIBBON_TWO,37.53988,126.9433,서울특별시 마포구 토정로 312 2층,02-716-6661 
평양면옥,RIBBON_TWO,37.56302915750704,127.0064696447095,서울특별시 중구 장충단로 207 ,02-2267-7784 
대성집,RIBBON_TWO,37.57269,126.960904,서울특별시 종로구 사직로 5 ,02-735-4259 
하동관,RIBBON_TWO,37.56441,126.9851,서울특별시 중구 명동9길 12 ,02-776-5656 
깡통만두,RIBBON_TWO,37.57811,126.9861,서울특별시 종로구 북촌로2길 5-6 ,02-794-4243 
모모야마,RIBBON_TWO,37.56461,126.9809,서울특별시 중구 을지로 30 롯데호텔서울 본관 38층,02-317-7031
홍연,RIBBON_TWO,37.564483681788396,126.98018321530917,서울특별시 중구 소공로 106 서울 웨스틴조선호텔 1층,02-317-0494 
피에르가니에르서울,RIBBON_TWO,37.56534516953803,126.98100699814147,서울특별시 중구 을지로 30 롯데호텔신관 35층,02-317-7181
스시메르,RIBBON_TWO,37.5714966636936,126.983659015157,서울특별시 종로구 우정국로 26 센트로폴리스 2층,02-722-4330 
