name,ribbonType,latitude,longitude,address,phone
소복갈비,RIBBON_TWO,36.679559,126.850237,충청남도 예산군 예산읍 천변로195번길 9 ,041-335-2401  
게눈감추듯,RIBBON_TWO,36.983407,126.742245,충청남도 당진시 송악읍 안섬포구길 24-4 ,041-356-0036  
장수꽃게장,RIBBON_TWO,36.898329,126.642484,충청남도 당진시 당진중앙2로 344 ,041-355-3014  
고덕갈비,RIBBON_TWO,36.700602,126.665046,충청남도 예산군 덕산면 덕산온천로 371-8 ,041-337-8700  
화해당,RIBBON_TWO,36.70402108029292,126.21219213159618,충청남도 태안군 근흥면 근흥로 901-8 ,041-675-4443  
바다꽃게장,RIBBON_TWO,36.754579,126.293964,충청남도 태안군 태안읍 능샘1길 45 ,041-674-5197  
나정식당,RIBBON_ONE,36.8033676650484,127.156147465167,충청남도 천안시 동남구 원성2교길 32 ,041-562-1305  
파스타포포,RIBBON_ONE,36.7869128967341,126.144144797081,충청남도 태안군 소원면 만리포2길 154 ,041-671-7152  
아비시니아커피,RIBBON_ONE,36.8100664501967,127.128165039987,충청남도 천안시 서북구 서부대로 471-8 아비시니아커피,041-575-6211  
고려옥,RIBBON_ONE,36.7885865020935,127.008943449924,충청남도 아산시 청운로 163 ,041-545-6254  
유정식당,RIBBON_ONE,36.0106518367381,126.69701855442,충청남도 서천군 장항읍 장서로29번길 24 ,041-956-5494  
인발루,RIBBON_ONE,36.525131026973135,126.54672950780683,충청남도 홍성군 결성면 홍남서로 732-1 ,041-588-8899  
원진노기순청국장,RIBBON_ONE,36.465637916517345,127.12286416506588,충청남도 공주시 백미고을길 6 ,041-855-3456  
원조연산할머니순대,RIBBON_ONE,36.215186,127.217277,충청남도 논산시 연산면 황산벌로 1525 ,041-735-0367  
동순원,RIBBON_ONE,36.917041946064046,127.12979711013118,충청남도 천안시 서북구 성환읍 성환중앙로 33 ,041-581-2070  
생생이두부보쌈,RIBBON_ONE,36.79191965477539,127.12851910371452,충청남도 천안시 동남구 서부대로 265 ,041-575-2877  
맛있게먹는날,RIBBON_ONE,0.0,0.0,충청남도 서산시 시장2로 13 ,041-665-9435  
클라시코,RIBBON_ONE,36.803061,127.109687,충청남도 천안시 서북구 불당5길 20 1층,041-621-1204  
선창횟집,RIBBON_ONE,36.6199458977054,126.286950817423,충청남도 태안군 남면 마검포길 427-5 ,041-674-6270  
뚜쥬루과자점,RIBBON_ONE,36.818342,127.139607,충청남도 천안시 서북구 백석로 270 ,041-576-0086  
동해원,RIBBON_ONE,36.4722,127.130136,충청남도 공주시 납다리길 22 ,041-852-3624  
영성각,RIBBON_ONE,36.710323,126.546661,충청남도 서산시 해미면 남문1로 40-1 ,041-688-2047  
이슬회수산,RIBBON_ONE,36.538944382285,126.47032220586,충청남도 홍성군 서부면 남당항로213번길 1 홍성남당항 해양수산 복합공간,041-633-4857  
송정꽃게집,RIBBON_ONE,36.513718,126.341976,충청남도 태안군 안면읍 방포로 46 ,041-673-2666  
오양손칼국수,RIBBON_ONE,36.439001,126.522007,충청남도 보령시 오천면 소성안길 55 ,041-932-4110  
나루터식당,RIBBON_ONE,36.285636,126.909186,충청남도 부여군 부여읍 나루터로 37 ,041-835-3155  
큰마을영양굴밥,RIBBON_ONE,36.609581,126.416466,충청남도 서산시 부석면 간월도1길 65 ,041-662-2706  
안흥일품꽃게장,RIBBON_ONE,36.761888646239,126.453579124299,충청남도 서산시 양열로 212 ,041-681-8601  
학화할머니호도과자,RIBBON_ONE,36.808917,127.147714,충청남도 천안시 동남구 대흥로 233 ,041-551-3370  
광덕산호두과자전문점,RIBBON_ONE,36.79512944189744,127.16501522344355,충청남도 천안시 동남구 천안대로 524 1층,041-555-5700  
평매매운탕,RIBBON_ONE,36.170114,127.179911,충청남도 논산시 가야곡면 산노1길 89-21 ,041-741-0926  
이원식당,RIBBON_ONE,36.869986,126.279364,충청남도 태안군 이원면 원이로 1539 ,041-672-8024  
