,Naver ID,Name,Score
0,12077060,아이해브어드림 강남역 본점,42
1,20472120,도치피자 강남,42
2,38291008,쉐이크쉑 강남대로점,41
3,450731592,비어룸,39
4,254053959,나폴리회관 강남역점,38
5,21339789,카페마마스 강남역점,38
6,1086067689,스타벅스 강남R점,37
7,870437247,진대감 강남역 삼성타운점,36
8,34016603,알베르,35
9,37362104,바게트케이,35
10,20123101,아실라,34
11,35271642,라그릴리아 SPC스퀘어점,33
12,18407600,프리모바치오바치 강남점,32
13,19896618,갓덴스시 강남점,32
14,31991940,장꼬방,32
15,1299706278,고메램 강남점,31
16,13090306,매드포갈릭 강남삼성타운점,31
17,20561475,브라운홀릭,31
18,1094851432,낙원타코 강남역점,30
19,1639179283,사유의서재,30
