상호,영업표지,대표자,등록번호,최초등록일,업종
(주)미스터홈즈부동산중개,미스터홈즈,고상철,20230523,2023.04.07,부동산 중개
구름에프앤비,구름카츠,김현태,20240133,2024.01.25,일식
보승FC,버거리(BURGERRY),정찬희,20211511,2021.07.05,패스트푸드
보승FC,보승회관,정찬희,20171222,2017.10.26,한식
보승FC,보승대한족발집,정찬희,20140649,2014.07.25,기타 외식
보승FC,미쓰족발,정찬희,20130100064,2013.02.07,기타 외식
(주)오제이푸드,오장동흥남집,윤재순,20171305,2017.11.15,기타 외식
청춘클린,청춘클린,조창민,20210581,2021.03.03,기타 서비스
(주)캠핑고래,캠핑고래,김영철,20191291,2019.12.02,기타도소매
롯데씨브이에스711(주),미니스톱,김홍철,20080200069,2008.07.29,편의점
키즈닥터코리아(주),키즈닥터,한상혁,20140978,2014.04.16,기타 서비스
(주)내추럴플로우,피자스웨그&옐로우캔,김형곤,20210564,2021.02.26,피자
(주)안경매니져,씨채널,김재목,20120500062,2012.10.12,안경
(주)안경매니져,안경매니져,김재목,20110500014,2011.06.02,안경
(주)안경매니져,아이피아,김재목,20110500015,2011.06.02,안경
(주)안경매니져,렌즈스토리(LENS STORY),김재목,20201239,2020.09.22,안경
(주)안경매니져,글라스스토리 (GLASS STORY),김재목,20201242,2020.09.22,안경
(주)노모어에프앤비,노모어피자,강병양,20220831,2022.08.17,피자
(주)알피케이컴퍼니,레코드피자,김석영,20201621,2020.11.27,피자
(주)아담스푸드앤로지스틱스,아담's 꼬마김밥,박재연,20215866,2021.12.29,분식
(주)아싸,아싸비어,구자명,20220239,2022.03.23,편의점
(주)굿투비위드유,대왕제육,김웅렬,20212745,2021.10.14,한식
(주)부엉이자리,진부엉이꼬마김밥,최석규,20214422,2021.11.09,분식
(주)상상유니버스,아이조아요양보호소,이금호,20213954,2021.11.03,반려동물 관련
(주)한국아이지에이,IGA MART,황본식,20130100003,2013.01.30,편의점
(주)엠엔에스에프,모자온달,김현식,20200658,2020.05.28,기타 외식
(주)광화문미진,미진1954,이정석,20230331,2023.02.22,한식
(주)멕시카나,떡볶이 집(ZIP),"최광은, 이두열",20212758,2021.10.14,분식
(주)멕시카나,멕시카나,"최광은, 이두열",20080100262,2008.08.11,치킨
(주)제너시스비비큐,BBQ,김태천,20161241,2016.12.19,치킨
