name,ribbonType,latitude,longitude,address,phone
톨드어스토리,RIBBON_TWO,36.3527262476506,127.372458280442,대전광역시 서구 갈마역로25번길 31 1층,042-867-2335  
스시호산,RIBBON_TWO,36.365491,127.380015,대전광역시 서구 대덕대로 366 해가든센트럴파크 1층,042-482-0053  
성심당,RIBBON_TWO,36.327735,127.427271,대전광역시 중구 대종로480번길 15 ,1588-8069  
스웨이,RIBBON_ONE,36.3478400269344,127.397129469285,대전광역시 서구 문정로150번길 31-6 ,010-4376-4347  
뮤제,RIBBON_ONE,36.3253924157264,127.424941579092,대전광역시 중구 대흥로121번길 44 ,042-222-1837  
풍뉴가,RIBBON_ONE,36.3366658013944,127.436979236067,대전광역시 동구 수향길 31 ,070-4107-1111  
월광박속낙지탕,RIBBON_ONE,36.3591723418063,127.377257266653,대전광역시 서구 한밭대로707번길 27 2층,042-487-8253  
온천집,RIBBON_ONE,36.336835126743,127.436832820805,대전광역시 동구 수향길 17 ,042-625-0906  
더한다이닝,RIBBON_ONE,36.338013170451,127.344402483639,대전광역시 유성구 원신흥로40번길 81 ,042-826-8117  
태평소국밥,RIBBON_ONE,36.3580801952478,127.351186444993,대전광역시 유성구 문화원로 140 하이랜드Ⅲ,042-472-8592  
아마레,RIBBON_ONE,36.37615183447152,127.39538287342457,대전광역시 유성구 엑스포로151번길 19 도룡하우스디어반 상가 D118호,070-4233-5135  
갑부본가(가수원점),RIBBON_ONE,36.30488643033733,127.35044275514382,대전광역시 서구 계백로 1145 좋은빌딩 2층,042-538-1800  
누오보나폴리,RIBBON_ONE,36.361973967432924,127.35299824967332,대전광역시 유성구 농대로 15 3층,042-322-9582  
피제리아다알리,RIBBON_ONE,36.387654,127.31681,대전광역시 유성구 지족로349번길 40-5 1층,042-825-8308  
곰에스프레소,RIBBON_ONE,36.343632,127.341334,대전광역시 유성구 봉명서로 15 벧엘하우스,042-825-8515  
싱크커피,RIBBON_ONE,36.32631743992265,127.41954308398701,대전광역시 중구 중앙로79번길 23 1층,042-485-2001  
향미각,RIBBON_ONE,36.3632732359855,127.435317572544,대전광역시 대덕구 쌍청당로 14 ,042-626-8252  
개천식당,RIBBON_ONE,36.3285622363718,127.431600699161,대전광역시 동구 대전로779번길 39-2 ,042-256-5627
일정,RIBBON_ONE,36.36839,127.380774,대전광역시 서구 만년로67번길 18-9 ,042-489-8877  
귀빈돌솥밥,RIBBON_ONE,36.366351,127.380504,대전광역시 서구 만년로68번길 21 1층,042-488-3340  
연래춘대반점,RIBBON_ONE,36.36043,127.344547,대전광역시 유성구 대학로 78 ,042-825-1177  
방동가든,RIBBON_ONE,36.287697,127.307121,대전광역시 유성구 성북로 58 ,042-544-3000  
한밭칼국수,RIBBON_ONE,36.331175,127.42355,대전광역시 중구 목척4길 6 ,042-254-9350  
태화장,RIBBON_ONE,36.333824,127.429368,대전광역시 동구 중앙로203번길 78 ,042-256-2407  
숯골원냉면,RIBBON_ONE,36.390146,127.350209,대전광역시 유성구 신성로84번길 18 ,042-861-3287  
사리원면옥,RIBBON_ONE,36.326123,127.426548,대전광역시 중구 중교로 62 ,042-256-6506  
대선칼국수,RIBBON_ONE,36.349941,127.388282,대전광역시 서구 둔산중로40번길 28 오성빌딩 2층,042-471-0317  
