name,ribbonType,latitude,longitude,address,phone
오십년할머니집,RIBBON_TWO,36.80501482578532,127.8194281233136,충청북도 괴산군 괴산읍 괴강로느티울길 8-1 ,043-832-2974  
청풍떡갈비,RIBBON_TWO,37.022667,128.175344,충청북도 제천시 금성면 청풍호로 1643 ,043-644-1600  
중앙탑초가집,RIBBON_TWO,37.009937,127.867427,충청북도 충주시 중앙탑면 중앙탑길 10 ,043-845-6789  
괴산매운탕,RIBBON_TWO,36.80595,127.81752,충청북도 괴산군 괴산읍 괴강로 248 ,043-832-2838  
화이트크리스마스,RIBBON_TWO,36.63083110629392,127.4248595383393,충청북도 청주시 흥덕구 비하로42번길 2 ,043-287-1225  
박쏘가리,RIBBON_TWO,36.982977,128.370689,충청북도 단양군 단양읍 수변로 85 ,043-423-8825  
피제리아지알로,RIBBON_ONE,36.4799951290492,127.286781727618,세종특별자치시 시청대로 137 리버피크닉 205호,044-865-6641  
사또가든,RIBBON_ONE,37.1604087736533,128.109864247247,충청북도 제천시 봉양읍 제원로 394 ,043-653-4960  
옥천초량순대,RIBBON_ONE,36.3020001561347,127.56687826551,충청북도 옥천군 옥천읍 금장로 22 ,043-732-1527  
오정식당,RIBBON_ONE,36.6290247475056,127.493321893093,충청북도 청주시 상당구 대성로 44-2 ,043-257-6726  
꽃댕이묵마을,RIBBON_ONE,37.172628598332395,127.9898476518207,충청북도 제천시 백운면 화당로2안길 22 ,043-653-0077  
수이재1928,RIBBON_ONE,36.62280589422268,127.42528949994461,충청북도 청주시 흥덕구 강서로71번길 4 ,043-235-1928  
이한빵집,RIBBON_ONE,36.51971773084169,127.23587768890583,세종특별자치시 마음로 272-3 102호,044-866-1391  
보테가,RIBBON_ONE,36.625397,127.428077,충청북도 청주시 흥덕구 가로수로1164번길 41-20 ,043-231-3205  
전통꽃게장,RIBBON_ONE,36.644421093104,127.457923744541,충청북도 청주시 흥덕구 주현로41번길 19 ,043-271-1451  
흥흥제과,RIBBON_ONE,36.637445,127.488634,충청북도 청주시 상당구 중앙로 5-3 ,070-8827-7058  
바누아투과자점,RIBBON_ONE,36.639711,127.43572,충청북도 청주시 흥덕구 대신로 76 ,043-236-0788  
대명도리탕,RIBBON_ONE,36.649185,127.456415,충청북도 청주시 흥덕구 백봉로 188-1 ,043-268-2560  
대보명가,RIBBON_ONE,37.151156,128.188519,충청북도 제천시 용두대로 287 ,043-643-3050  
감나무집,RIBBON_ONE,36.839068,128.043136,충청북도 충주시 수안보면 미륵송계로 339-1 ,043-846-0608  
경희식당,RIBBON_ONE,36.532336,127.821578,충청북도 보은군 속리산면 사내7길 11-4 ,043-543-3736  
운정식당,RIBBON_ONE,36.972802,127.922059,충청북도 충주시 중원대로 3432-1 ,043-847-2820  
장다리식당,RIBBON_ONE,36.989566,127.368148,충청북도 단양군 단양읍 삼봉로 370 ,043-423-3960  
선광집,RIBBON_ONE,36.346002,127.792407,충청북도 옥천군 청산면 지전1길 26 ,043-732-8404  
효자촌묵집,RIBBON_ONE,36.589295,127.507566,충청북도 청주시 상당구 남일면 단재로 469 ,043-297-3768  
외할머니집,RIBBON_ONE,37.117283,127.667785,충청북도 음성군 감곡면 가곡로 230 ,043-881-6122  
조령산묵밥청국장,RIBBON_ONE,36.814358,128.03729,충청북도 괴산군 연풍면 새재로 1854 ,043-833-4687  
송원칼국수,RIBBON_ONE,36.778018,127.568678,충청북도 증평군 증평읍 초중로 38 ,043-838-8721  
남들갈비,RIBBON_ONE,36.622804,127.487522,충청북도 청주시 서원구 청남로2133번길 8 ,043-285-5599  
남주동해장국,RIBBON_ONE,36.629238,127.48518,충청북도 청주시 상당구 무심동로304번길 10 ,043-256-8575  
성골촌,RIBBON_ONE,37.042765,128.502564,충청북도 단양군 영춘면 남천4길 82 ,010-8846-4261  
속리토속음식점,RIBBON_ONE,36.53143887421377,127.82206649804458,충청북도 보은군 속리산면 법주사로 261 ,043-543-3917  
신라식당,RIBBON_ONE,36.48578970062195,127.71725163999983,충청북도 보은군 보은읍 교사삼산길 40 ,043-544-2869  
조선면옥,RIBBON_ONE,36.634609,127.487107,충청북도 청주시 상당구 상당로69번길 58 ,043-254-6666  
