,store_id,name,category,is_food,new_store,instagram_link,instagram_post,instagram_follower,hot_spot,visitor_review_count,blog_review_count,distance_from_subway,on_tv,parking_available,no_kids,seoul_michelin,age-2030,gender-balance,on_blue_ribbon,image_urls,running_well,address,phone,gps,naver_url,on_blue_ribbin
0,1961115000,아틀리에펠롱,공방,False,False,https://instagram.com/atelierpellong,199,322,True,74,7,159,False,True,False,False,,,,[],0,서울 강남구 도산대로8길 7 501호,010-4994-8259,"{'latitude': 37.5164963, 'longitude': 127.0222537}",https://pcmap.place.naver.com/place/1961115000?entry=bmp&from=PLACE_AD&n_ad_group_type=10&n_query=%EA%B0%80%EB%A1%9C%EC%88%98%EA%B8%B8%EA%B3%B5%EB%B0%A9&from=map&fromPanelNum=2&x=127.0222537&y=37.5164963&timestamp=202402081338,False
1,1187668507,다락세라믹스튜디오,공방,False,False,https://instagram.com/darak.ceramicstudio,147,213,True,18,20,692,False,False,False,False,,,,[],0,서울 강남구 도산대로25길 15-4 4층 다락도자기공방,0507-1381-4302,"{'latitude': 37.5208122, 'longitude': 127.026782}",https://pcmap.place.naver.com/place/1187668507?entry=bmp&from=PLACE_AD&n_ad_group_type=10&n_query=%EA%B0%80%EB%A1%9C%EC%88%98%EA%B8%B8%EA%B3%B5%EB%B0%A9&from=map&fromPanelNum=2&x=127.026782&y=37.5208122&timestamp=202402081338,False
2,1647064163,플라비 가로수점,공방,False,False,,,,True,623,214,641,False,False,False,False,,,,[],2,서울 강남구 도산대로15길 32-10 3층,0507-1367-5769,"{'latitude': 37.5209113, 'longitude': 127.0235569}",https://pcmap.place.naver.com/place/1647064163?entry=bmp&from=map&fromPanelNum=2&x=127.0235569&y=37.5209113&timestamp=202402081339,False
3,1052039271,젬하우스,공방,False,False,,,,True,124,132,225,False,True,False,False,,,,[],1,서울 강남구 강남대로152길 35 401호,0507-1443-9930,"{'latitude': 37.5180621, 'longitude': 127.0222933}",https://pcmap.place.naver.com/place/1052039271?entry=bmp&from=map&fromPanelNum=2&x=127.0222933&y=37.5180621&timestamp=202402081339,False
4,1792159964,희작소,공방,False,False,https://instagram.com/heejacsso,702,3406,True,39,44,500,False,True,False,False,,,,[],0,서울 강남구 강남대로160길 29 301호,010-2601-2405,"{'latitude': 37.5200764, 'longitude': 127.0211151}",https://pcmap.place.naver.com/place/1792159964?entry=bmp&from=map&fromPanelNum=2&x=127.0211151&y=37.5200764&timestamp=202402081339,False
5,1264387629,해월동그라스 강남본점,공방,False,False,https://instagram.com/haewoldong_,48,149,True,441,47,126,False,False,False,False,,,,[],0,서울 강남구 강남대로152길 22 신사타워 B2 해월동그라스,0507-1385-1069,"{'latitude': 37.5174226, 'longitude': 127.0212729}",https://pcmap.place.naver.com/place/1264387629?entry=bmp&from=map&fromPanelNum=2&x=127.0212729&y=37.5174226&timestamp=202402081339,False
6,1449410886,비유향수스튜디오,공방,False,False,https://instagram.com/beustudio_official,93,81,True,78,20,757,False,True,False,False,,,,[],2,서울 강남구 압구정로 110 화인빌딩 406호,0507-1385-9240,"{'latitude': 37.5229975, 'longitude': 127.020903}",https://pcmap.place.naver.com/place/1449410886?entry=bmp&from=map&fromPanelNum=2&x=127.020903&y=37.5229975&timestamp=202402081340,False
7,1225452078,아워드로잉 취미미술 화실,공방,False,False,https://instagram.com/_ourdrawing,679,3513,True,16,124,584,False,True,False,False,,,,[],0,서울 강남구 압구정로10길 40 우송빌딩 5층,0507-1412-1060,"{'latitude': 37.5209277, 'longitude': 127.0220255}",https://pcmap.place.naver.com/place/1225452078?entry=bmp&from=map&fromPanelNum=2&x=127.0220255&y=37.5209277&timestamp=202402081340,False
8,36481361,GIALLO,공방,False,False,,,,True,1,13,588,False,False,False,False,,,,[],1,서울 강남구 논현로153길 51 2F,0507-1486-0309,"{'latitude': 37.5203193, 'longitude': 127.0241125}",https://pcmap.place.naver.com/place/36481361?entry=bmp&from=map&fromPanelNum=2&x=127.0241125&y=37.5203193&timestamp=202402081340,False
9,1837261599,비누베누,공방,False,False,https://instagram.com/binubenu_soap,9,7,True,,,614,False,False,False,False,,,,[],1,서울 강남구 강남대로162길 40 301호,0507-1435-3450,"{'latitude': 37.5207053, 'longitude': 127.0216092}",https://pcmap.place.naver.com/place/1837261599?entry=bmp&from=map&fromPanelNum=2&x=127.0216092&y=37.5207053&timestamp=202402081341,False
