,store_id,name,category,is_food,new_store,instagram_link,instagram_post,instagram_follower,hot_spot,visitor_review_count,blog_review_count,distance_from_subway,on_tv,parking_available,no_kids,seoul_michelin,age-2030,gender-balance,on_blue_ribbon,image_urls,running_well,address,phone,gps,naver_url
0,1797169863,을지다락 가로수길,양식,True,False,https://instagram.com/euljidarak_garosugil,48,228,True,1042,2240,682,False,False,False,False,,,False,[],1,서울 강남구 압구정로10길 29 신성빌딩 2층,0507-1437-9034,"{'latitude': 37.5216907, 'longitude': 127.0221764}",https://pcmap.place.naver.com/place/1797169863?entry=bmp&n_ad_group_type=10&n_query=%EA%B0%80%EB%A1%9C%EC%88%98%EA%B8%B8%EB%A7%9B%EC%A7%91&from=map&fromPanelNum=2&x=127.0221764&y=37.5216907&timestamp=202402081204
1,1240503952,라키,이자카야,True,False,,,,True,114,94,334,False,True,False,False,,,False,[],1,서울 강남구 가로수길 10 2층,0507-1434-7707,"{'latitude': 37.5185489, 'longitude': 127.0234597}",https://pcmap.place.naver.com/place/1240503952?entry=bmp&n_ad_group_type=10&n_query=%EA%B0%80%EB%A1%9C%EC%88%98%EA%B8%B8%EB%A7%9B%EC%A7%91&from=map&fromPanelNum=2&x=127.0234597&y=37.5185489&timestamp=202402081204
2,1185481426,Lu307 이자카야,이자카야,True,False,https://instagram.com/lu307_official,70,1041,True,407,867,713,False,False,False,False,,,True,[],0,서울 강남구 압구정로10길 30-7 1층,02-6205-3007,"{'latitude': 37.5219405, 'longitude': 127.0215948}",https://pcmap.place.naver.com/place/1185481426?entry=bmp&from=map&fromPanelNum=2&x=127.0215948&y=37.5219405&timestamp=202402081204
3,1109675321,미미곱창,"곱창,막창,양",True,False,https://instagram.com/meemee_sinsa,35,997,True,105,539,295,False,True,False,False,,,False,[],0,서울 강남구 강남대로156길 27 1층,0507-1306-8594,"{'latitude': 37.5187443, 'longitude': 127.0213329}",https://pcmap.place.naver.com/place/1109675321?entry=bmp&from=map&fromPanelNum=2&x=127.0213329&y=37.5187443&timestamp=202402081205
4,13321644,메리고라운드 스테이크,양식,True,False,https://instagram.com/merry_go_round_steak,835,837,True,3193,5965,561,True,True,False,False,False,True,True,[],1,서울 강남구 논현로175길 69 원영빌딩 1층,0507-1384-9141,"{'latitude': 37.5238805, 'longitude': 127.0234231}",https://pcmap.place.naver.com/place/13321644?entry=bmp&from=map&fromPanelNum=2&x=127.0234231&y=37.5238805&timestamp=202402081205
5,1270894354,봄의정원 가로수길점,양식,True,False,https://instagram.com/spring__garden_,88,754,True,891,2662,239,False,False,False,False,,,False,[],1,서울 강남구 압구정로2길 58 지하 1층,0507-1371-7337,"{'latitude': 37.5181626, 'longitude': 127.0212473}",https://pcmap.place.naver.com/place/1270894354?entry=bmp&from=map&fromPanelNum=2&x=127.0212473&y=37.5181626&timestamp=202402081205
6,269479759,모우리 한우,소고기구이,True,False,https://instagram.com/mo_woori,109,164,False,283,277,97,False,True,False,False,False,False,False,[],0,서울 강남구 학동로2길 20 2층,0507-1448-9297,"{'latitude': 37.5100245, 'longitude': 127.0226658}",https://pcmap.place.naver.com/place/269479759?entry=bmp&from=map&fromPanelNum=2&x=127.0226658&y=37.5100245&timestamp=202402081206
7,1393769185,육구공,퓨전음식,True,False,https://instagram.com/sinsa__yuk90,66,207,True,1647,5773,459,False,False,False,False,,,False,[],2,서울 강남구 도산대로15길 16 2층,0507-1326-6990,"{'latitude': 37.5193199, 'longitude': 127.0240259}",https://pcmap.place.naver.com/place/1393769185?entry=bmp&from=map&fromPanelNum=2&x=127.0240259&y=37.5193199&timestamp=202402081206
8,1345715158,압구정제주집,"육류,고기요리",True,False,https://instagram.com/JJ.PORK,2,197,False,1659,2750,653,True,True,False,False,,,True,[],1,서울 강남구 논현로152길 36 1층,0507-1428-5883,"{'latitude': 37.521559, 'longitude': 127.0311174}",https://pcmap.place.naver.com/place/1345715158?entry=bmp&from=map&fromPanelNum=2&x=127.0311174&y=37.521559&timestamp=202402081206
9,1789381979,포사로,이자카야,True,False,https://instagram.com/fosaro.izakaya,68,346,True,211,1118,295,False,False,False,False,,,False,[],1,서울 강남구 강남대로156길 27 지하1층,02-6204-4300,"{'latitude': 37.5187443, 'longitude': 127.0213329}",https://pcmap.place.naver.com/place/1789381979?entry=bmp&from=map&fromPanelNum=2&x=127.0213329&y=37.5187443&timestamp=202402081206
10,65729586,루위,중식당,True,False,https://instagram.com/ruyi2017,420,1441,False,1261,2770,815,True,True,False,False,False,False,False,[],1,서울 강남구 도산대로 211 동현빌딩 1F,0507-1436-0018,"{'latitude': 37.5206174, 'longitude': 127.029843}",https://pcmap.place.naver.com/place/65729586?entry=bmp&from=map&fromPanelNum=2&x=127.029843&y=37.5206174&timestamp=202402081207
11,1336299902,보승회관 논현역점,국밥,True,True,,,,True,570,997,120,False,False,False,False,,,False,[],2,서울 서초구 강남대로 521 1층,0507-1338-6816,"{'latitude': 37.5086116, 'longitude': 127.022108}",https://pcmap.place.naver.com/place/1336299902?entry=bmp&from=map&fromPanelNum=2&x=127.022108&y=37.5086116&timestamp=202402081207
12,1320390218,쿠라우니,"카페,디저트",True,False,https://instagram.com/coorownie,257,6368,True,1574,1743,368,True,False,False,False,,,True,[],2,서울 강남구 강남대로156길 39 지하 1층,0507-1375-2210,"{'latitude': 37.5190231, 'longitude': 127.0220841}",https://pcmap.place.naver.com/place/1320390218?entry=bmp&from=map&fromPanelNum=2&x=127.0220841&y=37.5190231&timestamp=202402081207
13,34786487,쮸즈,"딤섬,중식만두",True,False,,,,True,2217,2750,546,False,False,False,False,True,True,True,[],0,서울 강남구 도산대로17길 13,02-6081-9888,"{'latitude': 37.5195117, 'longitude': 127.0246812}",https://pcmap.place.naver.com/place/34786487?entry=bmp&from=map&fromPanelNum=2&x=127.0246812&y=37.5195117&timestamp=202402081208
14,1487617489,남영동양문 가로수길직영점,"육류,고기요리",True,False,https://instagram.com/yangmoon2021,80,1435,True,609,1562,774,True,True,False,False,,,False,[],0,서울 강남구 압구정로4길 13-17 1층,02-515-1994,"{'latitude': 37.5224642, 'longitude': 127.0215216}",https://pcmap.place.naver.com/place/1487617489?entry=bmp&from=map&fromPanelNum=2&x=127.0215216&y=37.5224642&timestamp=202402081208
15,13574087,듀자미,"카페,디저트",True,False,https://instagram.com/deuxamis_patisserie_seoul,477,1571,True,3258,1702,403,True,True,False,False,True,True,True,[],1,"서울 강남구 도산대로11길 28 1, 2층",02-3443-0030,"{'latitude': 37.5193446, 'longitude': 127.0225353}",https://pcmap.place.naver.com/place/13574087?entry=bmp&from=map&fromPanelNum=2&x=127.0225353&y=37.5193446&timestamp=202402081208
16,21693586,미미면가 본점,일식당,True,False,https://instagram.com/mimiholic1206,102,871,True,2594,2675,508,True,False,False,True,True,True,True,[],1,서울 강남구 강남대로160길 29,070-4233-5466,"{'latitude': 37.5200428, 'longitude': 127.0211102}",https://pcmap.place.naver.com/place/21693586?entry=bmp&from=map&fromPanelNum=2&x=127.0211102&y=37.5200428&timestamp=202402081208
17,1621296173,플라워베이커리 가로수길점,베이커리,True,False,,,,True,1995,638,303,True,True,False,False,,,True,[],1,서울 강남구 압구정로2길 45 1층 플라워베이커리,02-515-1345,"{'latitude': 37.5189603, 'longitude': 127.0210534}",https://pcmap.place.naver.com/place/1621296173?entry=bmp&from=map&fromPanelNum=2&x=127.0210534&y=37.5189603&timestamp=202402081209
18,1837081597,디제고 가로수길 본점,한식,True,True,https://instagram.com/dijego_sinsa,18,30000,True,32,108,579,False,True,False,False,,,False,[],2,서울 강남구 강남대로160길 49 2층,0507-1386-3000,"{'latitude': 37.5206698, 'longitude': 127.0226263}",https://pcmap.place.naver.com/place/1837081597?entry=bmp&from=map&fromPanelNum=2&x=127.0226263&y=37.5206698&timestamp=202402081209
19,13358436,한추,"맥주,호프",True,False,,,,True,1381,2255,544,True,False,False,False,True,True,True,[],0,서울 강남구 논현로175길 68,02-541-0969,"{'latitude': 37.5240032, 'longitude': 127.0233572}",https://pcmap.place.naver.com/place/13358436?entry=bmp&from=map&fromPanelNum=2&x=127.0233572&y=37.5240032&timestamp=202402081209
20,1784012755,압구정곱창 가로수길직영점,"곱창,막창,양",True,True,https://instagram.com/apgujeong_gopchang,48,672,True,94,30,428,False,True,False,False,,,False,[],2,서울 강남구 강남대로152길 64 1층,0507-1304-0295,"{'latitude': 37.5188011, 'longitude': 127.0244871}",https://pcmap.place.naver.com/place/1784012755?entry=bmp&from=map&fromPanelNum=2&x=127.0244871&y=37.5188011&timestamp=202402081210
21,32548015,오리지널팬케이크하우스 가로수길점,양식,True,False,,,,True,1613,1497,626,True,True,False,False,True,True,False,[],0,서울 강남구 강남대로162길 41 동원빌딩,0507-1374-7481,"{'latitude': 37.5209741, 'longitude': 127.0216931}",https://pcmap.place.naver.com/place/32548015?entry=bmp&from=map&fromPanelNum=2&x=127.0216931&y=37.5209741&timestamp=202402081210
22,1609433684,트라가 가로수길점,스페인음식,True,False,https://instagram.com/traga_garosugil,274,2153,True,1557,12417,530,False,True,False,False,,,False,[],2,서울 강남구 압구정로2길 18,0507-1352-3523,"{'latitude': 37.5205562, 'longitude': 127.0197355}",https://pcmap.place.naver.com/place/1609433684?entry=bmp&n_ad_group_type=10&n_query=%EA%B0%80%EB%A1%9C%EC%88%98%EA%B8%B8%EB%A7%9B%EC%A7%91&from=map&fromPanelNum=2&x=127.0197355&y=37.5205562&timestamp=202402081210
23,1460164532,갓포우오,이자카야,True,False,https://instagram.com/kappo_uo,16,150,True,195,148,241,False,True,False,False,,,False,[],0,서울 강남구 강남대로156길 12 1층,010-7927-1487,"{'latitude': 37.5180391, 'longitude': 127.0202194}",https://pcmap.place.naver.com/place/1460164532?entry=bmp&n_ad_group_type=10&n_query=%EA%B0%80%EB%A1%9C%EC%88%98%EA%B8%B8%EB%A7%9B%EC%A7%91&from=map&fromPanelNum=2&x=127.0202194&y=37.5180391&timestamp=202402081211
24,31363816,은행골 신사점,"초밥,롤",True,False,https://instagram.com/sushi_lee_153,170,795,True,6323,8373,265,False,True,False,False,True,True,False,[],2,서울 강남구 강남대로152길 42 2층,0507-1389-4992,"{'latitude': 37.5180268, 'longitude': 127.022747}",https://pcmap.place.naver.com/place/31363816?entry=bmp&from=map&fromPanelNum=2&x=127.022747&y=37.5180268&timestamp=202402081211
