,store_id,name,category,is_food,new_store,instagram_link,instagram_post,instagram_follower,hot_spot,visitor_review_count,blog_review_count,distance_from_subway,on_tv,parking_available,no_kids,seoul_michelin,age-2030,gender-balance,on_blue_ribbon,image_urls,running_well,address,phone,gps,naver_url
0,1577648959,오뗄드꾸뜨,양식,True,False,https://instagram.com/hotel_de_ggoodd,15,242,True,962,2410,570,False,False,False,False,,,False,[],2,서울 마포구 동교로46길 7 101호 1.5층,0507-1326-8430,"{'latitude': 37.5627102, 'longitude': 126.9253227}",https://pcmap.place.naver.com/place/1577648959?entry=bmp&n_ad_group_type=10&n_query=%EC%97%B0%EB%82%A8%EB%8F%99%EB%A7%9B%EC%A7%91&from=map&fromPanelNum=2&x=126.9253227&y=37.5627102&timestamp=202402081204
1,1636076061,쿠보,이자카야,True,False,https://instagram.com/kubo_izakaya,24,308,True,202,116,534,False,False,False,False,,,False,[],0,서울 마포구 동교로 258-1 2층,0507-1359-4352,"{'latitude': 37.5627845, 'longitude': 126.9250331}",https://pcmap.place.naver.com/place/1636076061?entry=bmp&n_ad_group_type=10&n_query=%EC%97%B0%EB%82%A8%EB%8F%99%EB%A7%9B%EC%A7%91&from=map&fromPanelNum=2&x=126.9250331&y=37.5627845&timestamp=202402081204
2,18799565,바다회사랑,생선회,True,False,,,,True,2071,2823,538,True,False,False,False,True,False,True,[],2,서울 마포구 동교로27길 60,02-338-0872,"{'latitude': 37.5604083, 'longitude': 126.921}",https://pcmap.place.naver.com/place/18799565?entry=bmp&from=map&fromPanelNum=2&x=126.921&y=37.5604083&timestamp=202402081204
3,1329385225,심원,일식당,True,False,https://instagram.com/simone.unagi,313,1637,False,755,980,946,False,True,False,False,,,False,[],2,서울 마포구 성미산로29안길 19-7 2층,0507-1398-8557,"{'latitude': 37.5654147, 'longitude': 126.9230854}",https://pcmap.place.naver.com/place/1329385225?entry=bmp&from=map&fromPanelNum=2&x=126.9230854&y=37.5654147&timestamp=202402081204
4,1869238855,유니의우아한식탁,이탈리아음식,True,False,https://instagram.com/yuni_elegant_table,123,316,True,1346,3102,488,False,False,False,False,,,False,[],1,서울 마포구 동교로38길 27-8 2층 유니의우아한식탁,02-6085-7942,"{'latitude': 37.5617531, 'longitude': 126.9259236}",https://pcmap.place.naver.com/place/1869238855?entry=bmp&from=map&fromPanelNum=2&x=126.9259236&y=37.5617531&timestamp=202402081205
5,1051220427,연교,"딤섬,중식만두",True,False,,,,True,1866,1723,460,True,False,False,False,,,True,[],2,서울 마포구 연희로1길 65 1층,010-5882-5112,"{'latitude': 37.5615994, 'longitude': 126.9267309}",https://pcmap.place.naver.com/place/1051220427?entry=bmp&from=map&fromPanelNum=2&x=126.9267309&y=37.5615994&timestamp=202402081205
6,1305337580,발리문,아시아음식,True,False,https://instagram.com/balimoon_seoul,206,5123,True,1395,2686,427,True,False,False,False,,,False,[],0,서울 마포구 동교로 248-1 2층,0507-1347-8328,"{'latitude': 37.5620283, 'longitude': 126.92449}",https://pcmap.place.naver.com/place/1305337580?entry=bmp&from=map&fromPanelNum=2&x=126.92449&y=37.5620283&timestamp=202402081205
7,1334089514,해피치즈스마일 연남점,분식,True,False,https://instagram.com/happycheesesmile_seoul,33,497,True,3507,2562,401,False,False,False,False,,,False,[],2,서울 마포구 동교로 244-1 2층 해피치즈스마일 연남점,0507-1336-6703,"{'latitude': 37.5617801, 'longitude': 126.9244879}",https://pcmap.place.naver.com/place/1334089514?entry=bmp&from=map&fromPanelNum=2&x=126.9244879&y=37.5617801&timestamp=202402081206
8,1304934400,해브,양식,True,False,https://instagram.com/have_yeonnam,129,1443,True,997,2949,435,False,False,False,False,,,False,[],1,서울 마포구 연희로1길 55 1층,0507-1362-9999,"{'latitude': 37.5613213, 'longitude': 126.9262932}",https://pcmap.place.naver.com/place/1304934400?entry=bmp&from=map&fromPanelNum=2&x=126.9262932&y=37.5613213&timestamp=202402081206
9,1404784472,오마,이탈리아음식,True,False,,,,True,1218,3546,599,False,False,False,False,,,False,[],2,서울 마포구 성미산로 192 2F 오마,0507-1312-1221,"{'latitude': 37.5627955, 'longitude': 126.9263427}",https://pcmap.place.naver.com/place/1404784472?entry=bmp&from=map&fromPanelNum=2&x=126.9263427&y=37.5627955&timestamp=202402081206
