,store_id,name,category,is_food,new_store,instagram_link,instagram_post,instagram_follower,hot_spot,visitor_review_count,blog_review_count,distance_from_subway,on_tv,parking_available,no_kids,pet_available,seoul_michelin,age-2030,gender-balance,on_blue_ribbon,image_urls,address,phone,gps
0,1560103206,동백꽃공방,공방,TRUE,FALSE,http://www.instagram.com/camellia_sss,255,3466,TRUE,,48,433,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,[],서울 종로구 동숭1길 12 B1,010-8009-0601,"{'latitude': 37.5799126, 'longitude': 127.0050488}"
2,37663526,비트포비아 대학로,방탈출카페,TRUE,FALSE,https://www.instagram.com/beat_phobia,829,4904,TRUE,74,828,106,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,[],서울 종로구 대학로10길 12 5층,0507-1476-5252,"{'latitude': 37.5816118, 'longitude': 127.0028096}"
3,35949552,반지대학 강남캠퍼스,공방,TRUE,FALSE,,,,TRUE,170,547,226,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,[],서울 강남구 테헤란로1길 32 연성흠근생 4층 1호,0507-1305-9858,"{'latitude': 37.50042700000661, 'longitude': 127.02747950001302}"
4,37336820,미스터힐링 신촌점,힐링카페,TRUE,FALSE,,,,TRUE,840,134,176,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,[],서울 서대문구 신촌로 119 신영스카이텔 B1,0507-1374-1197,"{'latitude': 37.5561785, 'longitude': 126.9390276}"
6,37015113,남대문실탄사격장,사격장,TRUE,FALSE,,,,FALSE,1804,306,282,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,[],서울 중구 남대문시장길 25-8 4층,02-778-4008,"{'latitude': 37.560498, 'longitude': 126.9774783}"
8,36476159,카페테라피 대학로점,테마카페,TRUE,FALSE,,,,TRUE,1093,215,358,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,[],서울 종로구 낙산길 14 2층,02-741-7979,"{'latitude': 37.5803602, 'longitude': 127.0052996}"
9,38299605,ESC방탈출카페 홍대점,방탈출카페,TRUE,FALSE,,,,TRUE,60,255,496,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,[],서울 마포구 와우산로21길 19-16 지하2층,0507-1481-8295,"{'latitude': 37.5518166, 'longitude': 126.9225289}"
10,36631598,다이나믹메이즈 인사동,테마파크,TRUE,FALSE,,,,TRUE,7742,783,212,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,[],서울 종로구 인사동길 12 대일빌딩 지하1층,02-2034-0600,"{'latitude': 37.5718987, 'longitude': 126.9872482}"
11,13475855,아쿠아플라넷 63,아쿠아리움,TRUE,FALSE,,,,FALSE,15002,3797,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,[],서울 영등포구 63로 50,1833-7001,"{'latitude': 37.5198458, 'longitude': 126.9400547}"
13,37408740,큐브이스케이프 홍대점,방탈출카페,TRUE,FALSE,,,,TRUE,725,1630,448,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,[],서울 마포구 양화로16길 15 무광빌딩 4층,02-323-5567,"{'latitude': 37.5534368, 'longitude': 126.9206197}"
14,33874345,루소주얼리 홍대점,공방,TRUE,FALSE,https://www.instagram.com/lusoj,2448,7621,TRUE,2262,490,13,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE,[],서울 마포구 양화로 166 지하 1층 루소주얼리 홍대점,0507-1310-7891,"{'latitude': 37.5567326, 'longitude': 126.9241712}"
15,36339304,비스트로누,이탈리아음식,TRUE,FALSE,,,,FALSE,2422,681,684,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,[],서울 서초구 사평대로26길 26-6 3층,0507-1438-5123,"{'latitude': 37.4990691, 'longitude': 126.998772}"
16,33040101,반지만들기카페 건대점,공방,TRUE,FALSE,,,,TRUE,739,817,190,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE,[],서울 광진구 동일로20길 89 성신빌딩 2층,0507-1327-8288,"{'latitude': 37.5400689, 'longitude': 127.0685404}"
18,778564823,제나일,공방,TRUE,FALSE,https://www.instagram.com/zenylekorea,125,800,FALSE,62,12,300,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,[],서울 영등포구 도림로 445 2층 제나일,02-2679-3356,"{'latitude': 37.5148247, 'longitude': 126.8935043}"
19,682304977,루소주얼리 건대점,공방,TRUE,FALSE,,,,TRUE,637,163,96,FALSE,FALSE,FALSE,TRUE,FALSE,,,FALSE,[],서울 광진구 아차산로34길 5 1층 2호 루소주얼리 건대점,0507-1326-9759,"{'latitude': 37.5398907, 'longitude': 127.0697433}"
20,567710893,락큐 포켓볼 클럽,당구장,TRUE,FALSE,,,,TRUE,38,31,158,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE,[],서울 광진구 아차산로30길 18 2층,0507-1425-0999,"{'latitude': 37.5400419, 'longitude': 127.067326}"
21,780391941,아이홉 맥주공방,주류제조,TRUE,FALSE,,,,FALSE,13,220,279,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE,[],서울 송파구 백제고분로 243 삼전빌딩 지하,02-415-7942,"{'latitude': 37.5030163, 'longitude': 127.0937263}"
23,37558893,쉼스토리,힐링카페,TRUE,FALSE,,,,TRUE,88,253,305,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,[],서울 강남구 역삼로3길 17 혜진빌딩 3층,0507-1409-6441,"{'latitude': 37.4946163, 'longitude': 127.0310001}"
24,933479059,미스터힐링 종각역점,힐링카페,TRUE,FALSE,,,,FALSE,1159,96,69,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,[],서울 종로구 종로 62-1,02-723-5599,"{'latitude': 37.56993, 'longitude': 126.9843631}"
26,897545921,또와또 낚시카페,낚시터,TRUE,FALSE,,,,FALSE,259,78,755,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,[],서울 광진구 동일로 166,070-4078-1255,"{'latitude': 37.5469288, 'longitude': 127.0669439}"
28,33211757,비올즈플라워카페,"꽃집,꽃배달",TRUE,FALSE,http://www.instagram.com/beolsflowercafe,1769,1122,FALSE,221,189,27,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE,[],서울 관악구 남부순환로 1919 지하1층 비올즈(본점),010-5207-7320,"{'latitude': 37.477696, 'longitude': 126.9626322}"
30,37604005,반지더하기 건대점,테마카페,TRUE,FALSE,,,,TRUE,384,334,174,FALSE,FALSE,FALSE,TRUE,FALSE,,,FALSE,[],서울 광진구 동일로22길 96 3층,0507-1355-8407,"{'latitude': 37.5409385, 'longitude': 127.0693815}"
31,89312272,미스터힐링 교대역점,힐링카페,TRUE,FALSE,,,,FALSE,393,183,35,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,[],서울 서초구 서초중앙로 111 황도빌딩 B01호,0507-1416-2234,"{'latitude': 37.4917625, 'longitude': 127.0137806}"
33,1213033169,미스터힐링 숙대입구역점,힐링카페,TRUE,FALSE,,,,FALSE,345,48,11,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,[],서울 용산구 한강대로 286-2 3층,0507-1431-9511,"{'latitude': 37.5439154, 'longitude': 126.9726352}"
35,1243411743,미스터힐링 마곡발산역점,힐링카페,TRUE,FALSE,http://www.instagram.com/mrhealing_balsanmagok,262,418,FALSE,806,162,165,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE,[],서울 강서구 마곡중앙6로 93 열린프라자 4층 405호,0507-1324-2888,"{'latitude': 37.5601377, 'longitude': 126.8377086}"
36,1968791696,미스터리룸 이스케이프 홍대2호점,방탈출카페,TRUE,FALSE,https://www.instagram.com/mysteryroom_escape_hd2,1743,288,TRUE,142,529,401,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,[],서울 마포구 독막로7길 41 2층,02-336-9010,"{'latitude': 37.5496934, 'longitude': 126.9194636}"
38,1163514727,리얼샷,사격장,TRUE,FALSE,,,,FALSE,322,52,227,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,[],서울 종로구 종로12길 10 3층,0507-1488-0463,"{'latitude': 37.569656, 'longitude': 126.985615}"
40,35272134,홍대반지카페,공방,TRUE,FALSE,https://www.instagram.com/banjicafe,495,1268,TRUE,5477,1742,534,FALSE,FALSE,FALSE,TRUE,FALSE,,,FALSE,[],서울 마포구 잔다리로6길 40-6 3층,02-337-6464,"{'latitude': 37.5521097, 'longitude': 126.921282}"
42,1167577690,템플스트라이크,볼링장,TRUE,FALSE,https://www.instagram.com/templestrike_gangnam,284,662,TRUE,1444,428,207,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE,[],서울 서초구 강남대로61길 13 지하1층 템플스트라이크,0507-1330-8008,"{'latitude': 37.4989882, 'longitude': 127.0257214}"
44,398449188,두젠틀장승배기역점,애견카페,TRUE,FALSE,http://www.instagram.com/dogentle_,610,4897,FALSE,162,54,313,FALSE,TRUE,FALSE,TRUE,FALSE,,,FALSE,[],서울 동작구 상도로 217-4,0507-1412-2120,"{'latitude': 37.50543725978561, 'longitude': 126.942900760878}"
45,38411640,더메이즈 건대점,방탈출카페,TRUE,FALSE,http://www.instagram.com/themazedungeon,184,690,TRUE,286,649,258,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,[],서울 광진구 아차산로26길 13 B1,0507-1411-2577,"{'latitude': 37.5406667, 'longitude': 127.066167}"
46,37072755,루나밍,공방,TRUE,FALSE,https://www.instagram.com/lunaming202,1015,448,TRUE,99,402,346,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE,[],서울 서대문구 연희로 18 1층 루나밍,0507-1456-1131,"{'latitude': 37.5604753, 'longitude': 126.9268602}"
48,1094171058,리얼샷사격양궁장 홍대점,사격장,TRUE,FALSE,http://www.instagram.com/realshotplus,19,1488,TRUE,576,318,563,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,[],서울 마포구 어울마당로 74 4층 리얼샷사격양궁장 홍대점,02-6953-6953,"{'latitude': 37.5516282, 'longitude': 126.92161280000002}"
49,1504066713,리얼샷 사격양궁장실내카페,사격장,TRUE,FALSE,,,,TRUE,195,75,155,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,[],서울 광진구 아차산로29길 17 지하층,0507-1305-5826,"{'latitude': 37.5417332, 'longitude': 127.0683455}"
50,1332113282,명보드게임,보드카페,TRUE,FALSE,https://www.instagram.com/myeong_board,73,731,FALSE,93,8,176,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,[],서울 중랑구 사가정로51길 39 3층,0507-1318-2060,"{'latitude': 37.5826, 'longitude': 127.0877913}"
51,1052039271,젬하우스,공방,TRUE,FALSE,,,,TRUE,112,127,225,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE,[],서울 강남구 강남대로152길 35 401호,0507-1443-9930,"{'latitude': 37.5180621, 'longitude': 127.0222933}"
52,1920602049,마스터키즈쿠킹,"영,유아,아동",TRUE,FALSE,http://www.instagram.com/masterkidscooking,1149,4321,TRUE,2032,127,184,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,[],서울 종로구 대학로8길 25,0507-1312-5857,"{'latitude': 37.5809643, 'longitude': 127.003696}"
54,37430272,리틀파파포 연남점,베트남음식,TRUE,FALSE,http://instagram.com/littlepapa_pho,121,967,TRUE,1103,604,474,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,[],서울 마포구 동교로38안길 5 1층,0507-1423-5678,"{'latitude': 37.5621164, 'longitude': 126.9246722}"
55,13587483,십원집,돼지고기구이,TRUE,FALSE,,,,FALSE,608,566,66,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,[],서울 중구 서소문로 134-6,0507-1491-9222,"{'latitude': 37.5634545, 'longitude': 126.975885}"
57,1096313766,마루아트홀,공연장,TRUE,FALSE,https://www.instagram.com/my_ps_partner_,118,312,TRUE,1,309,125,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,[],서울 종로구 대학로8가길 30 3층,070-4618-5753,"{'latitude': 37.5823012, 'longitude': 127.0025496}"
58,38711752,고양이정원,고양이카페,TRUE,FALSE,https://www.instagram.com/catgarden2010,265,3905,FALSE,474,1203,575,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE,[],서울 강서구 개화동로19길 18,02-2665-4507,"{'latitude': 37.5757084, 'longitude': 126.8031392}"
60,1808473263,클럽K서울 선릉찜질방사우나,찜질방,TRUE,FALSE,https://www.instagram.com/clubkseoul.official,1380,5260,FALSE,510,53,165,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE,[],서울 강남구 선릉로 524 117호,0507-1488-1149,"{'latitude': 37.5066263, 'longitude': 127.0484328}"
61,36399217,반지대학 명동캠퍼스,공방,TRUE,FALSE,,,,TRUE,153,606,168,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,[],서울 중구 명동2길 52 4층,0507-1408-6620,"{'latitude': 37.561118, 'longitude': 126.9831334}"
62,36342218,문숙이미나리식당,"백반,가정식",TRUE,FALSE,,,,TRUE,813,636,569,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,[],서울 마포구 잔다리로6길 34-5 1층,02-322-2827,"{'latitude': 37.552072, 'longitude': 126.9211336}"
63,1556219900,레이저아레나 홍대점,서바이벌게임,TRUE,FALSE,http://www.instagram.com/laserarena_hongdae.crew,1072,208,TRUE,493,254,478,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE,[],서울 마포구 와우산로 111 태화프라자 5층 레이저아레나,0507-1310-4273,"{'latitude': 37.5534708, 'longitude': 126.925721}"
64,61864949,벌툰 인더스트리얼 홍대본점,만화방,TRUE,FALSE,https://www.instagram.com/beetoon_official,744,2920,TRUE,283,159,500,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE,[],서울 마포구 독막로7길 63,02-3142-8880,"{'latitude': 37.5506014, 'longitude': 126.9201006}"
65,784977997,제이네,양식,TRUE,FALSE,https://www.instagram.com/jeine.dining,14,2314,TRUE,571,371,511,FALSE,FALSE,FALSE,FALSE,FALSE,,,TRUE,[],서울 종로구 율곡로1길 74-13,0507-1402-7899,"{'latitude': 37.5787616, 'longitude': 126.9818205}"
67,1238946598,넵타임커피,"카페,디저트",TRUE,FALSE,http://www.instagram.com/naptime_coffee,166,644,FALSE,291,53,128,FALSE,TRUE,FALSE,TRUE,FALSE,,,FALSE,[],서울 강남구 논현로132길 33 1층 넵타임커피,02-540-7187,"{'latitude': 37.51562496679411, 'longitude': 127.033121656124}"
68,11662870,N서울타워,전망대,TRUE,FALSE,,,,FALSE,11719,6098,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,[],서울 용산구 남산공원길 105,02-3455-9277,"{'latitude': 37.5512168, 'longitude': 126.9882475}"
70,1667048504,쁘띠문래,양식,TRUE,FALSE,,,,FALSE,288,304,594,FALSE,TRUE,FALSE,FALSE,FALSE,,,TRUE,[],서울 영등포구 선유로17길 24 신일아르디세 1층 쁘띠문래,0507-1461-0367,"{'latitude': 37.5210994, 'longitude': 126.8872255}"
71,1333132690,보드게임카페 갬성,보드카페,TRUE,FALSE,http://www.instagram.com/gamsung0510,7,4,FALSE,56,16,374,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE,[],서울 송파구 백제고분로41길 26 3층,0507-1324-8502,"{'latitude': 37.5083012, 'longitude': 127.1069994}"
73,1916353899,보드게임카페 레드버튼 신림점,보드카페,TRUE,FALSE,https://www.instagram.com/official_redbutton,350,18000,FALSE,1341,195,61,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,[],서울 관악구 신림로 323 3층 레드버튼,02-877-3799,"{'latitude': 37.48316798111471, 'longitude': 126.92957813485168}"
74,1211005409,후암거실,"임대,대여",TRUE,FALSE,,,,FALSE,162,41,549,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,[],서울 용산구 두텁바위로1가길 47 3층 후암거실,070-8839-6552,"{'latitude': 37.5484508, 'longitude': 126.9762357}"
